on x=-23..22,y=-17..33,z=-1..44
on x=-4421..11387,y=-88071..-56198,z=-40001..-12448
on x=-53706..-25865,y=-42549..-21760,z=-66033..-35028
on x=-43542..-34239,y=-73926..-55233,z=-48910..-33466
on x=-67720..-36040,y=46476..60851,z=29498..57054
on x=-57418..-46490,y=-70402..-45349,z=24879..36019
on x=-48883..-17984,y=65178..71080,z=-42693..-23789
on x=-7470..11245,y=-3032..10565,z=-96048..-73229
on x=43216..50854,y=-76127..-51101,z=-16632..5899
on x=-49632..-27132,y=-77962..-53396,z=-13899..-1406
on x=53034..61187,y=20407..30445,z=41127..65461
on x=58344..76834,y=-29621..-18545,z=21677..47788
on x=66658..74376,y=-12083..1944,z=30897..54860
on x=-27784..-5886,y=55577..74776,z=46572..72084
on x=-2727..21125,y=-11363..13955,z=64911..81005
on x=4825..33213,y=-41241..-25757,z=-75386..-58122
on x=-62853..-57153,y=45441..58798,z=-1086..18951
on x=-44905..-20623,y=20360..48233,z=-73169..-64497
on x=-42706..-30256,y=48281..73410,z=-55052..-33710
on x=-34863..-18711,y=-88513..-66456,z=-9891..-2046
on x=-35436..-5902,y=-79791..-71841,z=-44826..-27430
on x=53808..74369,y=-9534..10480,z=53219..69285
on x=-25706..-10596,y=-94206..-74648,z=-16867..13814
on x=45292..69656,y=-62163..-40068,z=-17174..-6748
on x=71112..74273,y=5745..29451,z=-38342..-15379
on x=32417..67866,y=56327..76798,z=-2722..21442
on x=57137..77038,y=15469..27272,z=33142..64965
on x=3004..18422,y=44037..67575,z=50671..74844
on x=-21552..-3629,y=-23432..3482,z=-97823..-72854
on x=5150..18244,y=64830..85700,z=-4405..7129
on x=-2278..429,y=-22503..-7767,z=-84194..-71566
on x=66170..77914,y=-36200..-28870,z=16325..40948
on x=-12012..6585,y=-88839..-75644,z=12309..25324
on x=458..8370,y=-92153..-76334,z=1051..33876
on x=45066..74620,y=-62574..-34425,z=12284..25390
on x=16824..30682,y=18790..37371,z=-84814..-47546
on x=65199..83726,y=-21379..5883,z=23740..40998
on x=-53731..-29849,y=30007..54649,z=-45750..-37393
on x=-69506..-47173,y=12607..48951,z=45737..73139
on x=26390..41035,y=53601..68004,z=28511..44838
on x=-13089..14798,y=-80807..-66821,z=10746..18257
on x=-34966..-15219,y=-29885..-10826,z=66724..72234
on x=-25002..-21148,y=62142..88259,z=-18518..15824
on x=61350..71740,y=-22676..2989,z=43189..69417
on x=51959..85379,y=40933..59131,z=-28723..1648
on x=-39690..-19303,y=54850..70371,z=-15970..20747
on x=-13735..12453,y=-81288..-76102,z=-4739..32433
on x=67168..75697,y=-32432..-16719,z=-33411..-24042
on x=-68282..-58549,y=-48506..-31718,z=-9819..-2554
on x=11060..27044,y=-86600..-72841,z=28..30857
on x=-75680..-54550,y=-7006..14097,z=-59717..-46774
on x=-46411..-34168,y=-42341..-29141,z=47848..63647
on x=17559..39408,y=-65401..-45469,z=37320..46652
on x=-76790..-49719,y=-43045..-22644,z=12729..30351
on x=71917..82494,y=-19692..1715,z=-17713..-7321
on x=-29501..-7812,y=-77764..-56273,z=14448..33625
on x=38231..59257,y=-74996..-51467,z=-12751..1359
on x=20547..37605,y=22937..41247,z=49756..77708
on x=-24243..-4136,y=-80243..-67468,z=12978..31159
on x=17286..29344,y=61759..84838,z=-44395..-28850
on x=46571..56996,y=20048..51810,z=-46432..-26779
on x=-10843..-383,y=23123..44105,z=-84351..-56400
on x=-95591..-61521,y=4370..25989,z=-8117..13295
on x=-33712..-25834,y=-73897..-54624,z=20267..47049
on x=-62404..-38950,y=15655..46021,z=46431..65012
on x=-2937..15858,y=-3834..9136,z=-90305..-63725
on x=-15414..16578,y=-72066..-56717,z=46472..54094
on x=-89442..-74694,y=-12689..12902,z=-37869..-9197
on x=-47453..-33199,y=-24975..-14856,z=62663..73790
on x=27962..40935,y=-49899..-14841,z=-75501..-57276
on x=40664..67355,y=-53526..-30406,z=-38794..-17053
on x=-64489..-37091,y=-74877..-52039,z=-461..21997
on x=32727..51293,y=-65012..-44360,z=-59706..-42265
on x=70195..91964,y=8323..44390,z=15480..34525
on x=-49097..-24601,y=-77042..-38924,z=24045..55270
on x=38208..72713,y=28286..51364,z=-57677..-26676
on x=47320..75053,y=-24050..-8289,z=45409..54894
on x=-6424..11658,y=-24669..3953,z=71516..89472
on x=-85350..-58369,y=17625..37466,z=21705..40972
on x=53018..73240,y=-29186..-17492,z=33118..52645
on x=16702..30389,y=62948..70601,z=-56350..-35082
on x=-32801..-21920,y=55916..67453,z=-44110..-22732
on x=-6598..7912,y=-74845..-58619,z=-46252..-18777
on x=57504..79660,y=36409..60655,z=-4084..15504
on x=59530..84813,y=10752..23454,z=3384..22886
on x=-24615..-179,y=70506..87560,z=-31291..1231
on x=-83618..-52626,y=-45448..-17896,z=-45883..-17258
on x=-22768..4112,y=-89367..-69557,z=-300..38005
on x=-19316..-1630,y=-85283..-77670,z=3758..16032
on x=35230..59754,y=35684..59910,z=39531..64449
on x=29050..40685,y=-51688..-41585,z=-68065..-40583
on x=42158..63530,y=58678..67198,z=-32181..-674
on x=-74202..-62361,y=12879..28293,z=15607..33255
on x=-44672..-34139,y=-72809..-55779,z=-18268..11339
on x=49289..59725,y=-56058..-36449,z=-39975..-8467
on x=-81374..-60075,y=-38582..-3284,z=23926..44319
on x=-67090..-40310,y=52082..74844,z=5041..36528
on x=-26739..7915,y=62396..90430,z=16597..54063
on x=6935..18387,y=-43324..-26487,z=61903..72721
on x=-62569..-46143,y=39169..58928,z=3278..16635
on x=-67690..-44091,y=44175..51331,z=-28589..-14194
on x=54753..63588,y=-2037..26260,z=-60728..-45542
on x=20656..41054,y=46468..58429,z=47585..54224
on x=58679..70951,y=34341..63786,z=-20401..11137
on x=30770..51072,y=-77606..-43317,z=8318..25504
on x=30699..66554,y=-68684..-46972,z=-4793..30110
on x=-19549..-898,y=70163..80561,z=7171..37186
on x=28072..56768,y=-20235..10873,z=-81425..-62277
on x=-41782..-22494,y=-70717..-43239,z=-62557..-35586
on x=-61708..-50966,y=-47177..-21782,z=37077..57039
on x=35934..54402,y=-81877..-63074,z=-27147..-17655
on x=383..15987,y=30235..45843,z=-73354..-56635
on x=-44281..-18164,y=-79487..-54333,z=-33718..-22247
on x=-68614..-63593,y=-60404..-24795,z=-6604..15642
on x=-93046..-72639,y=-24646..-12917,z=-20023..6571
on x=40350..44574,y=-59196..-40388,z=26022..46142
on x=25270..45490,y=44829..75670,z=-40489..-18230
on x=33761..54570,y=-70638..-51608,z=16997..33142
on x=-84693..-72433,y=-14014..4158,z=15348..18590
on x=-16779..19403,y=44337..62871,z=44986..67887
on x=37239..54121,y=-55484..-42629,z=32780..51382
on x=-74327..-44114,y=34034..62898,z=-34481..-9416
on x=69008..78513,y=-388..29070,z=-35005..-19734
on x=-40302..-30573,y=47884..54043,z=-65276..-42265
on x=40880..62357,y=53680..67608,z=-19384..-10427
on x=28628..50042,y=-36624..-8732,z=-78648..-55351
on x=61629..79483,y=-15600..-8492,z=29444..47543
on x=-77941..-57728,y=9769..43521,z=1642..15470
on x=10511..25773,y=70842..83381,z=7646..40114
on x=-16311..-4676,y=73268..88729,z=-16113..15016
on x=-70662..-53243,y=-59264..-28783,z=17691..37081
on x=-34130..-13472,y=-41806..-23878,z=-74377..-55192
on x=18163..30709,y=30393..63865,z=-67451..-47166
on x=-20108..6878,y=-42759..-22135,z=-78468..-53361
on x=41553..69747,y=43371..70323,z=-10131..11936
on x=44945..61353,y=-62077..-45277,z=14153..47234
on x=-40695..-30602,y=-72499..-62427,z=-43574..-29251
on x=-43082..-33682,y=71098..72311,z=-4677..16958
on x=-55710..-37677,y=47553..67548,z=-42304..-25987
on x=54930..72620,y=-42350..-17547,z=22095..45402
on x=-53065..-25251,y=52911..87957,z=3383..30410
on x=41818..70581,y=-38456..-31402,z=-57187..-41652
on x=-76367..-65017,y=-20029..-530,z=13446..34005
on x=-25477..-16666,y=12065..13885,z=-91965..-73105
on x=35840..57632,y=37906..62556,z=45255..65019
on x=19425..23632,y=58618..88843,z=33044..45395
on x=-19517..905,y=-81515..-69444,z=-2505..9676
on x=-3951..9651,y=58450..75654,z=-44733..-22276
on x=-28304..-408,y=25927..56038,z=59616..79360
on x=-16105..13015,y=-22061..-2108,z=62903..97897
on x=39208..57415,y=-55099..-23698,z=-65736..-39069
on x=60092..78373,y=-35486..-24306,z=-10045..16702
on x=-11038..7485,y=59345..81508,z=-49350..-12193
on x=-54439..-28239,y=-38380..-16012,z=-76932..-51791
on x=-86900..-54628,y=8106..18287,z=5962..33031
on x=-4793..5677,y=66399..95747,z=4145..18960
on x=61533..91267,y=-14058..10238,z=-16291..5039
on x=-29986..-23750,y=68246..75512,z=-13684..3798
on x=47021..69105,y=-26842..3283,z=56082..78467
off x=-83926..-69060,y=-2626..21970,z=-50655..-23700
on x=-7363..-5252,y=43717..60966,z=45927..64982
off x=-55167..-45455,y=-66039..-44108,z=-33851..-20488
on x=47303..57846,y=56025..71010,z=-22725..9776
on x=-88024..-64330,y=8958..16788,z=-23938..-8593
on x=12302..38828,y=4377..33016,z=-72913..-67558
on x=12440..36074,y=37641..48465,z=-65845..-42003
on x=-84380..-64353,y=-39269..-11716,z=-24820..4494
off x=18302..26697,y=-8605..30645,z=64225..91029
off x=-86338..-61269,y=1210..26256,z=-14653..6033
on x=-69087..-43167,y=45882..70946,z=-12742..20746
on x=9674..37232,y=10404..31296,z=63745..91050
off x=-41887..-26093,y=-8036..9726,z=-76855..-67721
on x=16074..52425,y=42465..79117,z=31029..48147
on x=-25999..-9730,y=52974..59349,z=55781..68979
off x=-75785..-40188,y=10251..29555,z=-46534..-32526
on x=15976..44655,y=10537..37544,z=-76915..-50302
off x=49460..75516,y=-1823..15395,z=44931..58551
on x=-62107..-26282,y=53133..74753,z=-6318..4574
on x=-83352..-55055,y=31076..53184,z=-10259..17676
off x=61594..77779,y=-44839..-23175,z=-27658..-3638
on x=-53368..-27284,y=-43688..-11211,z=52904..60674
off x=-54288..-35691,y=-58169..-34009,z=-51457..-36242
on x=-48036..-41452,y=-40547..-16512,z=44381..81521
off x=-10772..13429,y=-87310..-68035,z=-23983..-18326
on x=-26133..-5387,y=52067..60919,z=-74481..-45305
off x=51101..71853,y=-70756..-42099,z=-42014..-19551
off x=-81914..-51466,y=-46289..-19501,z=-31987..-14511
on x=2213..6397,y=-93682..-75639,z=6036..26691
on x=-52547..-25841,y=-77084..-63998,z=1475..28903
off x=39856..60713,y=-56997..-25858,z=-72181..-40427
off x=50484..67039,y=-68267..-50815,z=-19229..3937
on x=66065..85032,y=-10527..16973,z=-6744..18006
on x=-55717..-29479,y=-40863..-21932,z=44902..77279
off x=78292..84885,y=-4570..7290,z=-11320..17260
off x=-47877..-33367,y=32417..51371,z=50006..58861
off x=-48809..-26670,y=3482..24797,z=49792..65552
off x=-58538..-42076,y=-68000..-46581,z=-51931..-21036
off x=-44668..-6954,y=-86269..-58626,z=-28377..-2994
on x=-63425..-39508,y=-57095..-38721,z=3036..11991
off x=-35333..-27302,y=-48404..-28443,z=42574..65234
off x=59798..80235,y=1388..25358,z=34806..60302
on x=-66727..-42846,y=-62832..-45135,z=-46501..-29605
on x=34360..65479,y=61..14354,z=-70917..-55905
on x=-20698..-891,y=39099..49210,z=58798..72809
off x=-38677..-10153,y=-65011..-51121,z=-65546..-38960
off x=-56766..-33781,y=11044..23266,z=-72601..-38797
on x=-47283..-30983,y=-73831..-42395,z=10380..30198
on x=-43803..-28307,y=61244..86121,z=-6129..29458
off x=23930..33365,y=61891..76855,z=-44412..-15712
off x=-29051..-4422,y=-21804..-1131,z=-79904..-70742
on x=11611..23433,y=-75729..-54146,z=38323..49286
on x=50683..67998,y=-48875..-23372,z=-37141..-19828
off x=-76456..-49220,y=-59930..-30299,z=26354..45202
off x=67456..86381,y=-33767..-1305,z=-4056..6894
off x=-45862..-28222,y=43753..65964,z=34924..63567
off x=-34769..-21094,y=45509..73475,z=-48483..-28059
on x=-24709..-5571,y=70389..87280,z=-33823..-23442
on x=-81105..-57254,y=-3999..22739,z=26456..60531
off x=-35535..-21783,y=-73817..-59232,z=-46435..-34565
off x=-1665..33599,y=59465..85610,z=-33726..-13070
off x=-3854..19508,y=-17335..11311,z=-86213..-68773
off x=65590..89713,y=-3954..18892,z=12244..20643
off x=25664..51566,y=-71513..-50968,z=-47047..-27937
off x=16612..43897,y=-68831..-54165,z=-29324..-24346
on x=30746..34360,y=-28188..-17993,z=-78848..-58486
on x=-51861..-21779,y=-11009..25185,z=65588..85306
off x=-8267..6496,y=35236..53515,z=-70563..-60052
on x=7676..29531,y=-70134..-50143,z=47107..67247
on x=-12653..7052,y=53689..68420,z=41717..62346
off x=8092..12275,y=-86296..-75431,z=-40009..-11234
on x=59323..70809,y=-19298..-862,z=-56579..-40015
off x=32276..54359,y=-81210..-52460,z=-18219..-9686
off x=-29866..-23035,y=53001..84317,z=31816..45087
off x=59640..72153,y=-22958..5063,z=30224..50611
off x=12902..37116,y=-63240..-40237,z=-74455..-43207
on x=29530..45203,y=-71493..-43298,z=-56762..-37047
on x=-19679..804,y=71192..89124,z=-37147..-19810
off x=-45741..-15642,y=-66657..-59558,z=-46273..-23631
on x=400..18508,y=-76101..-53603,z=-41864..-11529
off x=-30054..-1140,y=-37027..-24494,z=68387..78011
off x=66563..80168,y=-46992..-35985,z=-28182..-5628
on x=-28479..-15002,y=54329..87504,z=-32548..-16784
on x=29353..45812,y=60647..74415,z=-24335..-9125
on x=-51664..-32447,y=51277..69927,z=-36413..-28681
off x=-28554..4890,y=-52246..-31000,z=-86214..-63896
off x=13668..37728,y=-88086..-66689,z=-3041..18810
off x=53553..73310,y=37060..47035,z=-36208..-26390
off x=51305..69545,y=-19213..-2735,z=52993..73351
on x=-33896..-10419,y=61107..81604,z=22589..42565
on x=65802..77482,y=40216..55151,z=-7606..16384
off x=20985..25361,y=-14707..14424,z=-79455..-58115
off x=26484..56252,y=-42804..-37902,z=51499..53523
on x=-44954..-28633,y=28729..35748,z=53084..69282
off x=43736..55138,y=-1572..4634,z=50220..67466
on x=31559..63445,y=28598..38189,z=48441..62673
off x=-30531..-11895,y=-46586..-13543,z=-89178..-56022
on x=62972..80697,y=10577..29525,z=25443..51278
off x=-42251..-17102,y=55756..79117,z=-35666..-14490
off x=-31988..-5919,y=54517..73230,z=-59893..-33569
on x=-17087..20433,y=70859..91762,z=19066..34517
on x=7326..16653,y=6847..16713,z=-80411..-74000
on x=53534..59594,y=-64003..-38891,z=15839..46906
off x=667..27841,y=48910..83247,z=-41518..-24811
on x=-29589..-5176,y=46483..63787,z=-54425..-41766
on x=-27752..139,y=60857..81807,z=-28882..-3431
on x=28054..57114,y=-35535..-3054,z=63065..77298
on x=-38194..-9502,y=51645..79200,z=25640..36375
on x=7865..31467,y=-35858..-29360,z=-74104..-65611
on x=-60556..-41526,y=34115..65990,z=13015..34719
off x=25472..49087,y=-24515..7948,z=-75784..-56915
off x=-59394..-51033,y=1773..25137,z=45761..78345
on x=22349..46729,y=-72493..-44558,z=-69650..-31151
off x=70412..76846,y=9130..32866,z=-43234..-25586
on x=20499..35799,y=-19957..3282,z=52309..81395
off x=39915..61869,y=35470..48429,z=29952..43533
on x=13918..32045,y=-19869..-3390,z=-88739..-74305
on x=-96783..-72828,y=-30081..-8572,z=-11409..23972
off x=-43721..-36863,y=-34300..-4268,z=51042..77123
on x=-12443..6115,y=15777..46371,z=73828..76283
off x=56853..77408,y=41047..46928,z=-27613..-23153
off x=14226..48535,y=-78160..-57478,z=-4886..21301
off x=36158..48518,y=13776..17220,z=-78660..-57476
on x=65464..72991,y=12377..25231,z=32328..57653
on x=-73740..-62623,y=-59161..-33924,z=4856..13763
off x=-10547..1784,y=17386..41752,z=71103..94652
on x=62951..89947,y=20537..24771,z=-11071..6121
on x=19218..31550,y=-80506..-48862,z=-52823..-25099
off x=32643..55903,y=26429..43415,z=56830..67907
on x=-85604..-71242,y=-43655..-23327,z=-13049..3079
off x=-78419..-71997,y=-24810..-3095,z=5281..18830
off x=29785..44379,y=-8953..11472,z=-84837..-50228
on x=-8043..13645,y=72930..92260,z=-36523..-18505
on x=-93092..-64494,y=18878..40696,z=-9515..17707
on x=-57102..-33226,y=19320..36378,z=-64681..-53433
off x=-12190..18628,y=-78823..-46283,z=-66974..-51004
on x=-26615..-15550,y=-90888..-68123,z=748..6184
off x=24953..50175,y=19616..38934,z=-69049..-53565
off x=-50295..-30620,y=26588..51474,z=35719..60550
on x=42868..64155,y=-67541..-35496,z=25421..38243
on x=53269..66100,y=-53676..-37143,z=18530..33232
on x=-28144..-6689,y=-2521..9617,z=62335..79454
on x=-83323..-54518,y=-45176..-38993,z=-35616..-17206
on x=43345..74076,y=-46923..-30400,z=41398..54340
on x=-20897..7931,y=-69881..-52247,z=-49374..-33728
on x=-21414..5975,y=50643..75638,z=-57374..-22165
off x=24096..39288,y=-51093..-30767,z=-60340..-46464
off x=53632..78651,y=-38437..-32754,z=11666..35248
on x=29433..47818,y=34643..57568,z=-72938..-49834
off x=-90327..-63722,y=-10239..25127,z=-13828..1297
off x=-75127..-70271,y=-15265..10647,z=-36169..-18392
off x=-53367..-42705,y=-58772..-21438,z=-67481..-47784
off x=-8360..1146,y=72194..86519,z=16466..26837
on x=20895..35564,y=-79422..-48212,z=42914..57965
on x=45051..63376,y=44708..73143,z=12286..40798
off x=10733..22270,y=69824..89297,z=-14992..-3931
on x=-5872..33285,y=-86208..-58549,z=-872..12345
off x=-60119..-44042,y=-61143..-37580,z=21861..39943
on x=21730..29530,y=-59305..-44839,z=39614..60249
on x=-18649..3380,y=5398..21145,z=72341..84237
on x=-58364..-25291,y=25719..52047,z=-60095..-39187
off x=-29748..-15120,y=30262..45919,z=65700..75179
off x=51868..58532,y=37577..67119,z=-17921..-13123
off x=-6891..6570,y=-84271..-55632,z=25275..42889
on x=28550..40132,y=-24923..-6966,z=-74257..-68437
off x=1110..22294,y=-54495..-19887,z=-79692..-57988
off x=-72341..-45071,y=-22696..-9189,z=-67628..-46507
on x=48876..76532,y=-37738..-34250,z=-52874..-23506
off x=-81987..-60650,y=-9468..11791,z=18855..26783
on x=66249..75629,y=-24833..6520,z=29181..56286
on x=24985..32860,y=52735..69056,z=36314..61055
off x=-86638..-73577,y=2070..26739,z=-25977..-15808
off x=-27688..-910,y=-51692..-38839,z=56808..74231
on x=-4468..7588,y=-25674..7744,z=-93308..-64186
off x=-68035..-62329,y=13499..41202,z=32128..56959
off x=-35415..-10558,y=-53271..-24206,z=49421..79908
on x=-46665..-29089,y=47660..63652,z=18561..30897
on x=-10970..15730,y=-90385..-60248,z=14279..29979
off x=66129..80416,y=16314..30470,z=15362..27232
off x=48507..70241,y=57926..67079,z=4506..31694
on x=54315..74569,y=26528..50963,z=31565..53282
off x=3981..34655,y=-35326..-1658,z=74082..95594
off x=-8909..23452,y=72200..94735,z=8684..40287
off x=-42142..-13130,y=70533..74676,z=1297..27457
on x=-12292..2904,y=-76517..-58119,z=-51569..-29949
on x=-40647..-17590,y=-68360..-35317,z=39444..59419
on x=-9536..9278,y=68642..93961,z=-29853..-20473
off x=-37032..-25779,y=2660..23496,z=58517..81897
off x=37387..61962,y=8902..27030,z=56012..73701
on x=6654..33916,y=61677..97875,z=-22085..7509
off x=44321..68492,y=-16732..5323,z=-50156..-44244
off x=60899..85625,y=22829..52229,z=-17180..-933
off x=32509..51871,y=36558..60019,z=-46479..-38441
on x=-85545..-72434,y=-32552..-3425,z=4838..28242
off x=62923..74984,y=-31265..-21643,z=-47480..-21409
on x=50289..57090,y=-54414..-38800,z=28886..49506
off x=-16766..-4100,y=-17675..2752,z=-85007..-72067
on x=-33640..-12972,y=-78774..-67603,z=10113..27924
