LRRLRRRLRLRLLRRLRLRLLRLRLRLLLLRRRLLRRRLRRRLRRRLLRLLRLRRLRLRLRRRLLLLRRLRLRRLRRLLRRRLRRLRLRRLRRLRRLRRLRLLRRLRRLLLLRLRLRRLLRRLLRRLRLLRLRRLRRLRRLRRRLRRLLLRRLRRRLRLRRRLLRLRRLRRRLRRLLRRRLRRLRLLRRLLRRLRRLRRRLRRLLRRLRRRLRLRLRLRLRLRRLRRLLRRRLRLRRLRRRLRLRLRLRLRLRRRLRRLRRRLLRRLRLLRRRLRRLRLLLLRRRLRRLRRRR

DRM = (DLQ, BGR)
QLN = (CDJ, TDK)
GFC = (CKR, LNC)
HGQ = (JNR, PGC)
NDG = (RJF, HNQ)
CBC = (NSD, SBJ)
BQK = (FDL, MFX)
VGV = (HGC, TQG)
VGP = (RJT, KPK)
VMN = (XMT, NPT)
PSH = (NSS, RGK)
PPL = (FXH, MPT)
DCD = (SBR, DTS)
MDD = (MQX, FQT)
XCG = (XVK, TTV)
LFQ = (SNS, VBL)
JHT = (FMN, HMC)
KNQ = (QKM, DPS)
PVM = (CHL, GLT)
JMG = (KPK, RJT)
XKD = (GQJ, NXL)
DGG = (CCB, CQX)
HNF = (MNC, FKZ)
QTL = (PSH, JBH)
RNL = (CLD, FCV)
BDR = (PMP, VXL)
GKH = (KXM, HFT)
RQC = (DVM, BJM)
GSR = (PPL, XDX)
JQD = (GNH, XSC)
GRS = (RTN, MPH)
BPP = (GBH, KQX)
XVP = (HJL, FKR)
PKZ = (NMR, KJK)
SLT = (BVM, KMJ)
XHA = (KJK, NMR)
BQQ = (FDR, TMD)
GGC = (CXJ, PTJ)
NBM = (PXB, BFG)
RQL = (BBH, NLT)
KJK = (FNL, LXT)
PSK = (GGB, QNN)
FQT = (DRL, NDS)
SJT = (VQC, NQX)
QHT = (GFS, BDR)
QJT = (PJS, DNG)
SVT = (PDG, GSS)
MBQ = (PPL, XDX)
VHL = (PVM, JBG)
QCJ = (JKK, JSR)
NQH = (LKQ, FBG)
XNJ = (QNF, LPL)
PQV = (CKJ, JHV)
FHM = (MNC, MNC)
FPN = (DLQ, BGR)
BJR = (NJM, FSB)
HPQ = (PRV, JLX)
KMJ = (QLL, RCG)
FTX = (TSM, PDR)
JXT = (KLD, NNG)
DPS = (KDS, FRP)
KKB = (RNT, PCN)
XCB = (TDM, HXC)
TCP = (PFP, DQD)
CDK = (NDF, SJT)
HCR = (HSP, PFD)
SNK = (BTG, MFT)
TKN = (QTL, HPL)
GSS = (KJM, SHP)
NRF = (SVT, RGV)
FLV = (GKJ, TNF)
QPK = (FPN, DRM)
RNB = (QTL, HPL)
HPJ = (XGL, JVX)
NSD = (QMN, PHS)
JXF = (DQV, XPX)
PRJ = (KBH, NQM)
XMT = (NGC, FQM)
JLP = (QNF, LPL)
RND = (HLV, MKR)
QRR = (GPQ, GLL)
LNR = (BVV, SBX)
PQG = (TXR, NTD)
JXX = (PJS, DNG)
QQX = (VTT, XKV)
RRJ = (GLS, GGP)
MLM = (VCD, BTQ)
QVG = (TMM, CTP)
KRM = (MSF, HVT)
XKV = (HCR, NCB)
LJX = (RNB, TKN)
CCB = (NXM, QSG)
RJF = (FQP, VDH)
XBN = (BJQ, CHJ)
JHM = (JTD, CJD)
SMV = (RSL, RLD)
PDR = (GHX, XBN)
JFK = (NDF, SJT)
HCN = (LFQ, CDQ)
SLL = (TCB, GDK)
VBL = (JBR, QHT)
SMK = (RBM, KKG)
GDK = (QXQ, RVR)
KQX = (XMJ, JFF)
LKQ = (HLN, VTD)
JSQ = (QXG, CLX)
FFD = (FRX, SSS)
NRM = (XBP, NQH)
SBR = (PQQ, SRG)
BKR = (MHG, HNG)
QQK = (GQK, STS)
HVL = (DLF, QLH)
NHT = (PTJ, CXJ)
GLL = (TLL, LRR)
GLS = (PBH, XNG)
NHB = (QQK, JTL)
PFS = (KFG, TSS)
PCN = (PFS, QFB)
CJV = (BFL, PKZ)
JFM = (FKG, CXG)
GFD = (GLL, GPQ)
MDS = (XCL, HPQ)
FXH = (VSD, HRX)
DQD = (RPR, LPS)
HPX = (RRJ, FCK)
JNR = (SQQ, SQQ)
BGR = (PQV, DKS)
BRN = (BSF, XCK)
RVS = (QKM, DPS)
PLH = (GPM, PPB)
XSM = (QFS, GQD)
TTH = (TQG, HGC)
KBJ = (KTS, LHG)
RKN = (PCX, NSB)
TPK = (PFM, RFN)
MNC = (BJB, TJS)
PMM = (GRR, PHB)
QKT = (BNK, QKR)
HQG = (JLP, XNJ)
RRD = (JGB, PMD)
CPR = (TGM, VXS)
GGM = (GCJ, GBM)
HBF = (FQG, PHL)
NXH = (DPF, GKD)
TMD = (GRX, QKT)
FBL = (RQC, TMK)
GNB = (DKH, TNC)
LQF = (LKS, KPG)
BKN = (TRN, TRN)
QJK = (BLT, XVJ)
HLV = (TJX, XPQ)
XPX = (TPK, HQN)
BJP = (FJB, FRM)
GHD = (KNM, BJG)
XMX = (HPR, QMQ)
FNV = (NHT, GGC)
JGB = (HGN, NBM)
PKH = (HHK, JXT)
JXN = (VRR, VRR)
CHJ = (TLF, QSN)
XBP = (LKQ, FBG)
QTK = (TXR, NTD)
PKC = (SVT, RGV)
JNH = (MGV, MPJ)
FXB = (NDC, NPL)
XHQ = (KTS, LHG)
MFS = (NQH, XBP)
FQM = (XJB, TXN)
QNN = (JQQ, GBG)
GBG = (PKD, GNB)
TMN = (GRC, BCV)
HMN = (KKG, RBM)
DHH = (SBR, DTS)
KPG = (LDJ, MXG)
FDL = (LQF, FSM)
FXX = (LLH, HFB)
VSD = (BJR, QFP)
HVT = (FDF, VLP)
FRM = (CBB, GMX)
GQK = (QVV, QBV)
CKJ = (PHJ, MBR)
JJH = (XSH, BMC)
SQQ = (PLD, PLD)
KPK = (JSQ, CQG)
VLP = (HHT, MMC)
NLP = (XVJ, BLT)
VTS = (MGL, PSK)
DTS = (SRG, PQQ)
VCD = (GDJ, GGM)
VRR = (HLR, RKL)
VXS = (BKN, SRB)
GMD = (PSR, VRX)
PFK = (HXC, TDM)
SJP = (VSM, NNH)
TDK = (SRS, XHL)
KRS = (GCV, SJB)
MRQ = (CJK, PQD)
XJB = (JRK, RPS)
BGF = (QCR, LJX)
MLT = (MMF, DGG)
TCC = (MNF, KKL)
QMN = (GLN, SQH)
GQJ = (VTS, SDL)
BFQ = (SMK, HMN)
NSS = (JPQ, HXV)
MHG = (VGV, TTH)
KBH = (GPL, XCV)
DRL = (KGD, HNX)
HMC = (QDF, RGR)
QSN = (FBR, GKH)
SDD = (GRC, BCV)
TGH = (BPN, SSQ)
HNG = (TTH, VGV)
RHH = (FKC, JSS)
DQA = (MVV, LQJ)
QFB = (KFG, TSS)
TQG = (SHT, HBF)
KDM = (QKK, HQL)
XHV = (PLD, CJV)
PQD = (TPH, PTN)
SSS = (SQX, VVL)
GPM = (DXB, GDX)
KLD = (CQH, XVP)
LRR = (FXX, TVV)
HPL = (JBH, PSH)
TMS = (BQQ, FGV)
MMF = (CCB, CQX)
DLQ = (PQV, DKS)
PHJ = (GTG, GRS)
TLF = (GKH, FBR)
FJB = (CBB, GMX)
PTF = (PSF, PHD)
NPL = (RTG, QHL)
XMJ = (XHQ, KBJ)
PMP = (TRM, PJK)
JPQ = (KLM, TCM)
BCG = (FMN, HMC)
DRS = (MGD, XVD)
RGT = (PKH, XGH)
TGM = (BKN, BKN)
BPM = (GQJ, NXL)
VDX = (CKR, LNC)
XJH = (QVF, LBV)
MGD = (BPR, VXT)
RGR = (JSK, VHL)
SNS = (QHT, JBR)
SRB = (TRN, DVK)
NRQ = (LQC, JJH)
PSF = (BQK, VKV)
BMF = (TMS, HPK)
LGG = (FCK, RRJ)
HPK = (FGV, BQQ)
QBV = (GSK, LNR)
FNF = (PHB, GRR)
GLT = (JDP, GNC)
DKS = (JHV, CKJ)
RGV = (GSS, PDG)
HQN = (PFM, RFN)
GKD = (BFJ, JKF)
HXC = (HPN, JCS)
MGH = (BVB, FBQ)
LBV = (XCB, PFK)
LHD = (PHD, PSF)
CDQ = (SNS, VBL)
BTQ = (GGM, GDJ)
HMS = (CBC, RBT)
VTD = (CNV, NRQ)
JBG = (GLT, CHL)
LCB = (NGG, LPH)
FKG = (SDD, TMN)
BVV = (DDL, MGH)
RGG = (KKB, NTR)
FBG = (HLN, VTD)
KMX = (GVJ, LLT)
HRF = (HHL, RGD)
DGM = (QFS, GQD)
LPM = (QFR, GCG)
QXQ = (BCS, RND)
BGV = (BTQ, VCD)
BGX = (XKV, VTT)
XDR = (VRR, ZZZ)
BJM = (JTP, KDM)
RFN = (PGQ, XHJ)
DDL = (FBQ, BVB)
XCV = (JNN, BNM)
TCX = (GBJ, PGB)
QXG = (TRP, GMD)
VKG = (BVM, KMJ)
RSL = (RLV, BJP)
CDN = (QLN, CNM)
RVR = (BCS, RND)
BBH = (BXJ, BXJ)
BXR = (KTG, HDP)
DJH = (XVK, TTV)
DVK = (TCP, HPZ)
SLF = (TFF, KQV)
DJR = (SFX, KGN)
HHT = (FHM, FHM)
JSR = (JXM, JNV)
DSB = (BFQ, XDD)
DPM = (RVS, KNQ)
HJQ = (NHT, GGC)
ZZZ = (RKL, HLR)
RJL = (HPJ, PNJ)
BJQ = (TLF, QSN)
HQJ = (BXC, JCR)
FQP = (HMS, SRH)
PGF = (VLQ, KRX)
LQJ = (FNF, PMM)
JXM = (BHV, XQK)
PNJ = (JVX, XGL)
STB = (CNM, QLN)
BBS = (JXN, JXN)
KKL = (RMF, RPJ)
SHV = (HRG, RLG)
FPQ = (FPN, DRM)
GBJ = (DXL, BXR)
QHR = (GHD, MPF)
MDG = (JKK, JSR)
CRQ = (PTQ, DBH)
BVB = (TPP, HHD)
GRC = (RGT, VDD)
SKH = (TFF, KQV)
DHZ = (LQJ, MVV)
LSP = (NSX, GTL)
MPJ = (QBL, VBH)
TDT = (KKL, MNF)
TXN = (JRK, RPS)
HSP = (GKK, JQV)
JTL = (STS, GQK)
GBM = (QCJ, MDG)
HDP = (LLX, QVG)
GMX = (KQB, BRN)
PJK = (JHT, BCG)
NDC = (RTG, QHL)
LPL = (GSR, MBQ)
VLQ = (DCD, DHH)
QLL = (CLL, TCT)
RTV = (NRF, PKC)
DKH = (BBJ, NHB)
NGC = (XJB, TXN)
CNM = (CDJ, TDK)
XXP = (BSP, NHC)
FNL = (RHM, FQX)
NBN = (VSM, NNH)
XSC = (BFM, RRD)
VXL = (PJK, TRM)
VSM = (XMX, CFD)
NQM = (GPL, XCV)
HLN = (CNV, NRQ)
GCJ = (QCJ, MDG)
FDF = (HHT, HHT)
PQQ = (SKH, SLF)
KVD = (MSF, HVT)
QSG = (NVD, RBN)
RGK = (HXV, JPQ)
NXR = (GCG, QFR)
QDR = (BSP, NHC)
TDM = (HPN, JCS)
MQX = (NDS, DRL)
JRK = (GGQ, SNK)
VMH = (VGR, KHV)
RPR = (NTV, CGR)
CFP = (LJX, QCR)
CLL = (JQD, QBB)
LLX = (CTP, TMM)
PRB = (DGG, MMF)
FVH = (XPX, DQV)
JKK = (JNV, JXM)
KLM = (VBS, HCN)
NHQ = (CJK, PQD)
BJB = (BKR, SHD)
CQX = (NXM, QSG)
KHV = (DVR, KMX)
SRH = (CBC, RBT)
DQV = (TPK, HQN)
NQD = (GMS, FLV)
PHS = (GLN, SQH)
GPL = (JNN, BNM)
JSS = (SJP, NBN)
CGR = (MRQ, NHQ)
PGC = (SQQ, XHV)
GPQ = (LRR, TLL)
HXV = (TCM, KLM)
BFL = (KJK, NMR)
PPX = (FXB, QVX)
AAA = (HLR, RKL)
DSS = (BBH, BBH)
VDD = (PKH, XGH)
NCB = (PFD, HSP)
SSQ = (PPX, HJZ)
DNG = (MLM, BGV)
CDJ = (XHL, SRS)
TNC = (NHB, BBJ)
QDF = (VHL, JSK)
GTG = (MPH, RTN)
FRX = (SQX, VVL)
MVV = (FNF, PMM)
QFS = (HLQ, MDD)
MNP = (PDR, TSM)
LDJ = (BMF, JVJ)
NSX = (FVD, LXB)
RNT = (PFS, QFB)
TJS = (SHD, BKR)
HNQ = (VDH, FQP)
BLT = (BCB, RGG)
KQV = (HGQ, MJT)
PTN = (NXT, RKN)
VDR = (BBS, PCT)
RCS = (MPJ, MGV)
GRX = (BNK, QKR)
JFF = (XHQ, KBJ)
RTG = (NRB, HJG)
CND = (DCF, NRP)
DCM = (JMK, DLP)
XPQ = (XCG, DJH)
RTX = (TGM, VXS)
DPF = (BFJ, JKF)
LNC = (PXC, TGH)
PCX = (SLL, KSX)
BSP = (HPX, LGG)
VHG = (LCH, NHP)
GRV = (KQX, GBH)
NGG = (DGM, XSM)
XSH = (TTQ, KHR)
MRH = (KVJ, LCB)
TXR = (NCX, PVK)
NVD = (VJB, DRF)
TTQ = (FPQ, QPK)
CKR = (PXC, PXC)
BVC = (DLF, QLH)
VDH = (SRH, HMS)
JQF = (SKC, MRH)
CBB = (BRN, KQB)
FMN = (RGR, QDF)
SHT = (FQG, PHL)
NLT = (BXJ, DHZ)
MPH = (KRS, XNV)
BXJ = (MVV, LQJ)
CHL = (JDP, GNC)
TSM = (XBN, GHX)
DLF = (KRM, KVD)
BCV = (RGT, VDD)
HNX = (FNK, LSF)
LJS = (SFX, KGN)
STS = (QBV, QVV)
SKC = (KVJ, LCB)
BNK = (SJD, PLH)
RTN = (KRS, XNV)
JTP = (QKK, HQL)
LCH = (VGP, JMG)
CBR = (BBS, BBS)
VNS = (VMS, PGF)
CQG = (CLX, QXG)
HLQ = (MQX, FQT)
TMM = (CRQ, DPL)
BDL = (NHP, LCH)
TRP = (VRX, PSR)
MGV = (VBH, QBL)
GNH = (BFM, RRD)
NXT = (NSB, PCX)
SNB = (SKC, MRH)
LPH = (XSM, DGM)
GGB = (GBG, JQQ)
CJK = (PTN, TPH)
QVF = (PFK, XCB)
